Character	Code-point	Unicode Name	HTML Entity	CreatZy Code	Additional Keywords
⸩	U+2E29	right double parenthesis		})	close double parenthesis
# Puntuation Marks					
·	U+00B7	middle dot	&middot;, &centerdot;, &CenterDot;	.	center dot, Georgian comma, Greek middle dot, interpunct, interpoint
 	U+00A0	no-break space	&nbsp;, &NonBreakingSpace;	.nbsp	non-breaking space
␣	U+2423	open box	&blank;	.blank	blank
‑	U+2011	non-breaking hyphen		-	
–	U+2013	en dash	&ndash;	--	
—	U+2014	em dash	&mdash;	---	
―	U+2015	horizontal bar	&horbar;	---'	quotation dash
‒	U+2012	figure dash		-0	numerical separator
§	U+00A7	section sign	&sect;	.S	
¶	U+00B6	pilcrow sign	&para;	.P	paragraph sign
¡	U+00A1	inverted exclamation mark	&iexcl;	.i!	
¿	U+00BF	inverted question mark	&iquest;	.i?	turned question mark
‣	U+2023	triangular bullet		.>	
…	U+2026	horizontal ellipsis	&hellip;, &mldr;	...	three dot leader, m leader
※	U+203B	reference mark		.ref	
‼	U+203C	double exclamation mark		.!!	
‽	U+203D	interrobang		.!?	
# Mathematical Symbols					
±	U+00B1	plus-minus sign	&plusmn;, &pm;, &PlusMinus;	=+-	plus-or-minus sign
∓	U+2213	minus-or-plus sign	&mnplus;, &mp;, &MinusPlus;	=-+	minus-plus sign
×	U+00D7	multiplication sign	&times;	=x	times
÷	U+00F7	division sign	&divide;, &div;	=%	
⋇	U+22C7	division times	&divonx;, &divideontimes;	=x%	interunion
⋅	U+22C5	dot operator	&sdot;	=.	small dot
∙	U+2219	bullet operator		=.b	
∘	U+2218	ring operator	&compfn;, &SmallCircle;	=.f	composition function, small circle
°	U+00B0	degree sign	&deg;	=o	
∞	U+221E	infinity	&infin;	=8	
√	U+221A	square root	&radic;, &Sqrt;	=v	radical sign
∀	U+2200	for all	&forall;, &ForAll;	=A	
∃	U+2203	there exists	&exist;, &Exists;	=E	
∄	U+2204	there does not exist	&nexist;, &NotExists;, &nexists;	=!E	
∅	U+2205	empty set	&empty;, &emptyset;, &emptyv;, &varnothing;	=0	null set, empty variable, variable nothing
∂	U+2202	partial differential	&part;, &PartialD;	=d	
∈	U+2208	element of	&isin;, &isinv;, &Element;, &in;	=in	in set
∉	U+2209	not an element of	&notin;, &NotElement;, &notinva;	=!in	not in set
∋	U+220B	contains as member	&niv;, &ReverseElement;, &ni;, &SuchThat;	=ni	reversed element, reversed in set, such that
∌	U+220C	does not contain as member	&notni;, &notniva;, &NotReverseElement;	=!ni	not reversed element, not reversed in set
∏	U+220F	n-ary product	&prod;, &Product;	=P	product sign
∑	U+2211	n-ary summation	&sum;, &Sum;	=S	sum sign
∫	U+222B	integral	&int;, &Integral;	=Si	integral sign
∮	U+222E	contour integral	&conint;, &oint;, &ContourIntegral;	=Sio	circle integral sign
∩	U+2229	intersection	&cap;	=cap	cap
∪	U+222A	union	&cup;	=cup	cup
∥	U+2225	parallel to	&par;, &parallel;, &DoubleVerticalBar;, &spar;, &shortparallel;	=||	double vertical bar
⊥	U+22A5	up tack	&bottom;, &bot;, &perp;, &UpTee;	=T	orthogonal to, perpendicular, bottom tack, up tee
≡	U+2261	identical to	&equiv;, &Congruent;	===	equivalent, congruent
≢	U+2262	not identical to	&nequiv;, &NotCongruent;	=!==	not equivalent, not congruent
≠	U+2260	not equal to	&ne;, &NotEqual;	=!=	different from
≈	U+2248	almost equal to	&asymp;, &ap;, &TildeTilde;, &approx;, &thkap;, &thickapprox;	=~	approximate
≅	U+2245	approximately equal to	&cong;, &TildeFullEqual;	=~=	congruent to
≆	U+2246	approximately but not actually equal to	&simne;	=~!=	similar but not equal to
≇	U+2247	neither approximately nor actually equal to	&ncong;, &NotTildeFullEqual;	=!~=	not congruent to
≏	U+224F	difference between	&bumpe;, &HumpEqual;, &bumpeq;	=b=	hump equals
≏̸	U+224F+0338	not difference between	&nbumpe;, &NotHumpEqual;, &bumpe;&#x338;, &HumpEqual;&#x338;, &bumpeq;&#x338;	=!b=	not hump equals
≟	U+225F	questioned equal to	&equest;, &questeq;	=?=	test equals
≤	U+2264	less-than or equal to	&le;, &leq;	=<=	
≥	U+2265	greater-than or equal to	&ge;, &GreaterEqual;, &geq;	=>=	
≪	U+226A	much less-than	&Lt;, &NestedLessLess;, &ll;	=<<	
≫	U+226B	much greater-than	&Gt;, &NestedGreaterGreater;, &gg;	=>>	
# Letterlike Symbols					
Α	U+0391	Greek capital letter Alpha	&Alpha;		Alpha, gre.A
Β	U+0392	Greek capital letter Beta	&Beta;		Beta, gre.B
Γ	U+0393	Greek capital letter Gamma	&Gamma;		Gamma, gre.G
Δ	U+0394	Greek capital letter Delta	&Delta;		Delta, gre.D
Ε	U+0395	Greek capital letter Epsilon	&Epsilon;		Epsilon, gre.E
Ζ	U+0396	Greek capital letter Zeta	&Zeta;		Zeta, Zêta, gre.Z
Η	U+0397	Greek capital letter Eta	&Eta;		Eta, Êta, gre.Ê
Θ	U+0398	Greek capital letter Theta	&Theta;		Theta, Thêta, gre.Th
Ι	U+0399	Greek capital letter Iota	&Iota;		Iota, gre.I
Κ	U+039A	Greek capital letter Kappa	&Kappa;		Kappa, gre.K
Λ	U+039B	Greek capital letter Lamda	&Lambda;		Lambda, gre.L
Μ	U+039C	Greek capital letter Mu	&Mu;		Mu, gre.M
Ν	U+039D	Greek capital letter Nu	&Nu;		Nu, gre.N
Ξ	U+039E	Greek capital letter Xi	&Xi;		Xi, gre.Ks
Ο	U+039F	Greek capital letter Omicron	&Omicron;		Omikron, gre.O
Π	U+03A0	Greek capital letter Pi	&Pi;		Pi, gre.P
Ρ	U+03A1	Greek capital letter Rho	&Rho;		Rho, gre.R
Σ	U+03A3	Greek capital letter Sigma	&Sigma;		Sigma, gre.S
Τ	U+03A4	Greek capital letter Tau	&Tau;		Tau, gre.T
Υ	U+03A5	Greek capital letter Upsilon	&Upsilon;		Upsilon, gre.U
Φ	U+03A6	Greek capital letter Phi	&Phi;		Phi, gre.F
Χ	U+03A7	Greek capital letter Chi	&Chi;		Chi, gre.Ch
Ψ	U+03A8	Greek capital letter Psi	&Psi;		Psi, gre.Ps
Ω	U+03A9	Greek capital letter Omega	&ohm;, &Omega;		Omega, Ômega, gre.Ô, Ohm sign
α	U+03B1	Greek small letter alpha	&alpha;		alpha, gre.gre.a
β	U+03B2	Greek small letter beta	&beta;		beta, gre.b
γ	U+03B3	Greek small letter gamma	&gamma;		gamma, gre.g
δ	U+03B4	Greek small letter delta	&delta;		delta, gre.d
ε	U+03B5	Greek small letter epsilon	&epsi;, &epsilon;		epsilon, gre.e
ϵ	U+03F5	Greek lunate epsilon symbol	&epsiv;, &varepsilon;, &straightepsilon;		variant epsilon, straight epsilon
϶	U+03F6	Greek reversed lunate epsilon symbol	&bepsi;, &backepsilon;		back epsilon
ζ	U+03B6	Greek small letter zeta	&zeta;		zeta, zêta, gre.z
η	U+03B7	Greek small letter eta	&eta;		eta, êta, gre.ê
θ	U+03B8	Greek small letter theta	&theta;		theta, thêta, gre.th
ι	U+03B9	Greek small letter iota	&iota;		iota, gre.i
κ	U+03BA	Greek small letter kappa	&kappa;		kappa, gre.k
λ	U+03BB	Greek small letter lamda	&lambda;		lambda, gre.l
μ	U+03BC	Greek small letter mu	&mu;		mu, gre.m
ν	U+03BD	Greek small letter nu	&nu;		nu, gre.n
ξ	U+03BE	Greek small letter xi	&xi;		xi, gre.ks
ο	U+03BF	Greek small letter omicron	&omicron;		omikron, gre.o
